Crop_Year,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
2011,Nagaland,181580.0,382.38,3088.70909,30418281.6,59921.4,2.1945454545
2011,Odisha,4005000.0,5806.0,4038.6000000000004,670917600.0,1321650.0,1.5230821253333333
2011,Puducherry,16576.0,42.114,4303.762500000001,2776811.52,5470.08,2.7977777780000004
2011,Punjab,2818000.0,10542.0,705.2,472071360.0,929940.0,3.7495
2011,Sikkim,12070.0,20.88,2585.486364,2021966.4,3983.1,1.6225
2011,Tamil Nadu,1903772.0,7458.657,926.5,318919885.4,628244.76,4.226451613
2011,Tripura,265999.0,718.304,2295.609091,44560152.48,87779.67,2.63
2011,Uttar Pradesh,5946285.0,14022.392,1554.8,996121663.24,1962274.05,2.3151767674999997
2011,Uttarakhand,274999.0,589.764,3129.4,46067832.480000004,90749.67,2.4973076925
2011,West Bengal,5433700.0,14605.766,5059.5,910253424.02,1793121.0,2.5275925926666667
2012,Andhra Pradesh,3628000.0,11511.0,1937.4,547102400.0,1124680.0,3.1065909095
2012,Arunachal Pradesh,126085.0,174.662,2760.7,19013618.0,39086.35,1.308125
2012,Assam,2484728.0,5120.052,6502.5,374696982.4,770265.6799999999,2.0109234566666667
2012,Bihar,3298887.0,8322.01,2772.3,497472159.6,1022654.97,2.2359249323333334
2012,Chhattisgarh,3982172.0,7848.401,1366.8,600511537.6,1234473.32,1.91962963
2012,Delhi,6068.0,19.768,451.9,915054.4,1881.08,3.26
2012,Goa,45830.0,122.821,6097.8,6911164.0,14207.3,2.7199999999999998
2012,Gujarat,701100.0,1497.3,921.2,105725880.0,217341.0,2.4615
2012,Haryana,1206255.0,3941.0,307.9,181903254.0,373939.05,3.041
2012,Himachal Pradesh,75380.0,111.252,1035.0,11367304.0,23367.8,1.577272727
2012,Jammu and Kashmir,261663.0,545.186,1116.7,39458780.4,81115.53,1.8875
2012,Jharkhand,1091071.0,1422.489,2204.0,164533506.8,338232.01,1.0498188405
2012,Karnataka,1278915.0,3364.379,2868.6000000000004,192860382.0,396463.65,2.5202421653333333
2012,Kerala,197277.0,508.299,6562.799999999999,29749371.6,61155.869999999995,2.4157142856666667
2012,Madhya Pradesh,1791157.0,3106.146,1049.5,270106475.6,555258.67,1.631041667
2012,Maharashtra,1559000.0,3078.04,2006.8,235097200.0,483290.0,1.8480769229999998
2012,Manipur,122690.0,257.58,1176.7,18501652.0,38033.9,1.937777778
2012,Meghalaya,109751.0,265.653,8835.900000000001,16550450.799999999,34022.81,2.160476190666667
2012,Mizoram,39342.0,57.7,6150.599999999999,5932773.6,12196.02,1.9133333333333333
2012,Nagaland,183330.0,405.18,2593.2,27646164.0,56832.3,2.335
2012,Odisha,12378000.0,9496.0,4290.6,1866602400.0,3837180.0,1.3760000000000001
2012,Puducherry,16281.0,46.519,3294.8999999999996,2455174.8,5047.11,2.9499999999999997
2012,Punjab,2849000.0,11390.0,338.9,429629200.0,883190.0,3.923636364
2012,Sikkim,11920.0,21.34,3006.9,1797536.0,3695.2,1.7175
2012,Tamil Nadu,1493276.0,4050.334,706.8,225186020.8,462915.56,3.293225806
2012,Tripura,254743.0,713.222,1882.2,38415244.4,78970.33,2.78
2012,Uttar Pradesh,5861282.0,14415.939,1492.6,883881325.6,1816997.42,2.4219809525
2012,Uttarakhand,269237.0,606.891,2619.6,40600939.6,83463.47,2.4803846155000002
2012,West Bengal,5444318.0,14946.735,4698.0,821003154.4,1687738.5799999998,2.665185185
2013,Andhra Pradesh,2583440.0,7993.425,2124.6,373281245.7,697528.8,3.0619230765000003
2013,Arunachal Pradesh,131989.0,184.104,2042.9,19071090.61,35637.03,1.300588235
2013,Assam,2503201.0,5193.379,5393.1,361687512.46000004,675864.27,2.008271605
2013,Bihar,3150814.0,6649.589,3209.7000000000003,455261114.89,850719.78,1.9043333333333337
2013,Chhattisgarh,3987721.0,7102.729,1418.3,576185807.3,1076684.67,1.75037037
2013,Delhi,6068.0,19.768,706.8,876765.32,1638.36,3.26
2013,Goa,42820.0,126.511,7285.2,6187061.800000001,11561.400000000001,3.0125
2013,Gujarat,820399.0,1778.09,2013.0,118539451.51,221507.73,2.5365240645
2013,Haryana,1244000.0,4041.0,452.2,179745560.0,335880.0,3.112
2013,Himachal Pradesh,73139.0,106.899,1216.9,10567854.11,19747.53,1.565454545
2013,Jharkhand,1087141.0,1498.321,2507.2,157081003.12,293528.07,1.138432971
2013,Karnataka,1340035.0,4052.599,3706.7999999999997,193621657.16,361809.44999999995,2.7871543210000005
2013,Kerala,199611.0,564.325,9766.2,28841793.39,53894.97,2.532307692333333
2013,Madhya Pradesh,1881546.0,3321.724,1451.4,271864581.5,508017.42,1.410204082
2013,Maharashtra,1604900.0,3108.29,2819.6,231892001.0,433323.0,1.9296666665
2013,Manipur,222800.0,597.67,1428.8,32192372.0,60156.0,2.354444444
2013,Meghalaya,82437.0,218.701,7345.200000000001,11911322.129999999,22257.989999999998,2.3611688313333334
2013,Mizoram,38803.0,58.994,5546.4,5606645.47,10476.81,1.6401388890000002
2013,Nagaland,189480.0,429.64,2701.8,27377965.2,51159.6,2.4184848485
2013,Odisha,4180000.0,7610.0,4897.200000000001,603968200.0,1128600.0,2.002502564
2013,Puducherry,15822.0,49.792,3249.6000000000004,2286120.7800000003,4271.94,3.2955555556666667
2013,Punjab,2851000.0,11267.0,586.6,411940990.0,769770.0,3.834090909
2013,Sikkim,11158.0,20.26,2567.6,1612219.42,3012.66,1.76
2013,Tamil Nadu,1725730.0,7115.195,740.9,249350727.7,465947.1,4.491935484
2013,Telangana,1994437.0,6581.09,2697.4,288176202.2,538497.99,3.1594444445
2013,Tripura,254254.0,711.831,2043.5,36737160.46,68648.58,2.775
2013,Uttar Pradesh,5982369.0,14635.836,1990.4,864392496.77,1615239.6300000001,2.437590476
2013,Uttarakhand,259379.0,593.068,3470.8,37477671.70999999,70032.32999999999,2.5447435895
2013,West Bengal,5513687.0,15376.869,5819.700000000001,796672634.64,1488695.4900000002,2.6687037036666665
2014,Andhra Pradesh,2393955.0,8455.584,1375.2,361391446.79999995,790005.15,3.3630769235
2014,Arunachal Pradesh,127200.0,189.992,2403.2,19202112.0,41976.0,1.447058824
2014,Assam,2495297.0,5222.645,5697.0,376690035.16,823448.01,2.040778727333333
2014,Bihar,3263374.0,8241.624,3183.0,492638939.08000004,1076913.42,2.1119977936666667
2014,Chhattisgarh,4035700.0,7977.746,1274.7,609229272.0,1331781.0,1.92962963
2014,Delhi,6035.0,17.269,416.4,911043.6,1991.55,2.86
2014,Goa,41970.0,120.505,6982.4,6335791.2,13850.1,2.8499999999999996
2014,Gujarat,794443.0,1771.583,1211.2,119929115.28,262166.19,2.505767544
2014,Haryana,1277000.0,3989.0,301.3,192775920.0,421410.0,2.9465
2014,Himachal Pradesh,72380.0,116.365,1019.9,10926484.8,23885.4,1.72
2014,Jammu and Kashmir,275861.0,344.823,1278.4,41643976.56,91034.13,1.098947368
2014,Jharkhand,989002.0,1392.782,2313.2,149299741.94,326370.66000000003,1.2133333335
2014,Karnataka,1326535.0,4027.747,3715.5,200253723.6,437756.55,2.719393162333333
2014,Kerala,198159.0,562.092,9139.2,29914082.64,65392.47,2.5058424906666668
2014,Madhya Pradesh,2057000.0,3522.66,891.2,310524720.0,678810.0,1.663488372
2014,Maharashtra,1551200.0,2946.6,2003.2,234169152.0,511896.0,1.915075
2014,Manipur,224380.0,501.98,987.5,33872404.8,74045.4,2.073333333
2014,Meghalaya,110323.0,298.238,10453.2,16654360.080000002,36406.590000000004,2.4439393936666667
2014,Mizoram,36930.0,60.679,6089.700000000001,5574952.8,12186.9,1.8315277776666665
2014,Nagaland,195240.0,454.19,2666.6,29473430.400000002,64429.200000000004,2.4721212120000002
2014,Odisha,4166000.0,9840.0,4610.700000000001,628899360.0,1374780.0,2.1995
2014,Puducherry,16654.0,52.717,3990.0,2514087.84,5495.82,3.3544444446666666
2014,Punjab,2894000.0,11107.0,382.7,436878240.0,955020.0,3.728181818
2014,Sikkim,11040.0,20.07,2627.0,1666598.4,3643.2,1.76
2014,Tamil Nadu,1794991.0,7949.437,911.3,270971841.4,592347.03,4.730322581
2014,Telangana,1415420.0,4544.982,1492.8,213671803.18,467088.6,3.1455555554999997
2014,Tripura,257273.0,746.954,2015.7,38837932.08,84900.09,2.885
2014,Uttar Pradesh,5871976.0,13316.967,1232.8,886433496.92,1937752.08,2.312312121
